day,date,low,High,Low,High
Tue,19 Feb,01:20,07:47,13:50,20:15
Wed,20 Feb,02:15,08:42,14:45,21:11
Thu,21 Feb,03:08,09:34,15:39,22:03
Fri,22 Feb,03:59,10:26,16:31,22:54
Sat,23 Feb,04:49,11:16,17:21,23:44
Sun,24 Feb,05:39,12:07,18:11,12:34
Mon,25 Feb,06:30,12:57,19:01,00:34
Tue,26 Feb,07:23,13:47,19:52,01:25
Wed,27 Feb,08:19,14:39,20:46,02:19
Thu,28 Feb,09:18,15:33,21:43,03:16
Fri,1 Mar,10:17,16:30,22:44,04:15
Sat,2 Mar,11:15,17:29,23:43,05:14
Sun,3 Mar,12:09,18:25,12:58,06:10
Mon,4 Mar,00:36,07:01,12:58,19:18
Tue,5 Mar,01:23,07:47,13:43,20:05
Wed,6 Mar,02:05,08:29,14:25,20:47
Thu,7 Mar,02:44,09:09,15:05,21:26
Fri,8 Mar,03:20,09:46,15:43,22:03
